,Year,Rank,Time,Team,Rider,Country,Time - Seconds,Time - Hours,Time - Minutes,win_flag
174,1960,47,"+ 1h 57' 13""",Paris/North,André Le Dissez ,FRA,13.0,1,57,0
175,1960,48,"+ 1h 58' 22""",Paris/North,Raymond Hoorelbeke ,FRA,22.0,1,58,0
176,1961,23,"+1h 05' 05""",West/South-West,Édouard Bihouée ,FRA,5.0,1,5,0
177,1961,24,"+1h 06' 28""",Paris/North-East,Joseph Wasko ,FRA,28.0,1,6,0
178,1961,25,"+1h 06' 45""",West/South-West,Joseph Thomin ,FRA,45.0,1,6,0
179,1961,26,"+1h 07' 33""",Paris/North-East,Elio Gerussi ,FRA,33.0,1,7,0
180,1961,27,"+1h 17' 41""",West/South-West,Fernand Picot ,FRA,41.0,1,17,0
181,1961,28,"+1h 19' 15""",West/South-West,Pierre Beuffeuil ,FRA,15.0,1,19,0
182,1961,29,"+1h 19' 40""",Paris/North-East,Stéphan Lach ,FRA,40.0,1,19,0
183,1961,30,"+1h 20' 58""",West/South-West,Georges Groussard ,FRA,58.0,1,20,0
184,1961,34,"+1h 26' 39""",Centre-Midi,Jean Milesi ,FRA,39.0,1,26,0
185,1961,39,"+1h 34' 50""",Centre-Midi,Valentin Huot ,FRA,50.0,1,34,0
186,1961,41,"+1h 38' 47""",Centre-Midi,Gérard Thielin ,FRA,47.0,1,38,0
187,1961,46,"+1h 50' 03""",Centre-Midi,Louis Bergaud ,FRA,3.0,1,50,0
188,1961,48,"+1h 54' 45""",Centre-Midi,Manuel Busto ,FRA,45.0,1,54,0
189,1962,24,"+ 1h 03' 02""",Saint-Raphaël–Helyett–Hutchinson,Louis Rostollan ,FRA,2.0,1,3,0
190,1962,29,"+ 1h 12' 24""",Gitane–Leroux–Dunlop–R. Geminiani,Raymond Mastrotto ,FRA,24.0,1,12,0
191,1962,30,"+ 1h 14' 06""",Saint-Raphaël–Helyett–Hutchinson,Jean Stablinski ,FRA,6.0,1,14,0
192,1962,32,"+ 1h 21' 18""",Mercier–BP–Hutchinson,Jean Gainche ,FRA,18.0,1,21,0
193,1962,36,"+ 1h 31' 51""",Gitane–Leroux–Dunlop–R. Geminiani,Jean Forestier ,FRA,51.0,1,31,0
194,1962,37,"+ 1h 33' 23""",Liberia–Grammont–Wolber,Édouard Delberghe ,FRA,23.0,1,33,0
195,1962,38,"+ 1h 38' 50""",Saint-Raphaël–Helyett–Hutchinson,Jean Graczyk ,FRA,50.0,1,38,0
196,1962,50,"+ 1h 59' 53""",Mercier–BP–Hutchinson,Pierre Beuffeuil ,FRA,53.0,1,59,0
197,1963,37,"+ 1h 09' 15""",Saint-Raphaël–Gitane–R. Geminiani,Guy Ignolin ,FRA,15.0,1,9,0
198,1963,47,"+ 1h 27' 53""",Mercier–BP–Hutchinson,Pierre Beuffeuil ,FRA,53.0,1,27,0
199,1963,48,"+ 1h 29' 26""",Pelforth–Sauvage–Lejeune,Guy Epaud ,FRA,26.0,1,29,0
200,1963,51,"+ 1h 32' 08""",Pelforth–Sauvage–Lejeune,Georges Groussard ,FRA,8.0,1,32,0
201,1963,52,"+ 1h 32' 20""",Margnat–Paloma–Dunlop,Claude Mattio ,FRA,20.0,1,32,0
202,1963,57,"+ 1h 46' 41""",Pelforth–Sauvage–Lejeune,André Foucher ,FRA,41.0,1,46,0
203,1963,59,"+ 1h 48' 24""",Saint-Raphaël–Gitane–R. Geminiani,Anatole Novak ,FRA,24.0,1,48,0
204,1963,62,"+ 1h 56' 31""",Margnat–Paloma–Dunlop,Joseph Thomin ,FRA,31.0,1,56,0
205,1963,63,"+ 1h 58' 37""",Saint-Raphaël–Gitane–R. Geminiani,Pierre Everaert ,FRA,37.0,1,58,0
206,1964,27,"+ 1h 13' 45""",Margnat–Paloma–Dunlop,Claude Mattio ,FRA,45.0,1,13,0
