,Year,Rank,Time,Team,Rider,Country,Time - Seconds,Time - Hours,Time - Minutes,win_flag
265,1971,31,"+ 1h 19' 31""",Hoover–de Gribaldy–Wolber,Mariano Martinez ,FRA,31.0,1,19,0
266,1971,32,"+ 1h 23' 24""",Peugeot–BP–Michelin,Christian Raymond ,FRA,24.0,1,23,0
267,1971,34,"+ 1h 26' 13""",Sonolor–Lejeune,Raymond Riotte ,FRA,13.0,1,26,0
268,1971,36,"+ 1h 28' 41""",Bic,Francis Ducreux ,FRA,41.0,1,28,0
269,1971,37,"+ 1h 30' 57""",Bic,Roland Berland ,FRA,57.0,1,30,0
270,1971,39,"+ 1h 33' 57""",Bic,Jean-Claude Genty ,FRA,57.0,1,33,0
271,1971,41,"+ 1h 35' 19""",Peugeot–BP–Michelin,Robert Bouloux ,FRA,19.0,1,35,0
272,1971,43,"+ 1h 36' 12""",Sonolor–Lejeune,José Catieau ,FRA,12.0,1,36,0
273,1971,46,"+ 1h 38' 38""",Hoover–de Gribaldy–Wolber,Jean-Claude Daunat ,FRA,38.0,1,38,0
274,1971,48,"+ 1h 41' 26""",Bic,Charly Grosskost ,FRA,26.0,1,41,0
275,1971,51,"+ 1h 43' 37""",Hoover–de Gribaldy–Wolber,Jean Vidament ,FRA,37.0,1,43,0
276,1971,54,"+ 1h 44' 35""",Sonolor–Lejeune,Jean-Jacques Sanquer ,FRA,35.0,1,44,0
277,1971,56,"+ 1h 46' 05""",Fagor–Mercier–Hutchinson,François Cocquery ,FRA,5.0,1,46,0
278,1971,65,"+ 1h 57' 12""",Bic,Alain Vasseur ,FRA,12.0,1,57,0
279,1972,17,"+ 1h 03' 41""",Rokado–Colders,Lucien Aimar ,FRA,41.0,1,3,0
280,1972,19,"+ 1h 06' 19""",Gan–Mercier–Hutchinson,Michel Périn ,FRA,19.0,1,6,0
281,1972,21,"+ 1h 14' 51""",Peugeot–BP–Michelin,Jean-Pierre Danguillaume ,FRA,51.0,1,14,0
282,1972,27,"+ 1h 30' 12""",Sonolor–Lejeune,Walter Ricci ,FRA,12.0,1,30,0
283,1972,29,"+ 1h 31' 35""",Bic,Guy Santy ,FRA,35.0,1,31,0
284,1972,32,"+ 1h 37' 28""",Van Cauter–Magniflex–de Gribaldy,Joël Millard ,FRA,28.0,1,37,0
285,1972,34,"+ 1h 39' 39""",Rokado–Colders,Gilbert Bellone ,FRA,39.0,1,39,0
286,1972,35,"+ 1h 41' 13""",Bic,Sylvain Vasseur ,FRA,13.0,1,41,0
287,1972,36,"+ 1h 41' 46""",Gan–Mercier–Hutchinson,Gérard Moneyron ,FRA,46.0,1,41,0
288,1972,38,"+ 1h 44' 20""",Peugeot–BP–Michelin,Jean-Pierre Parenteau ,FRA,20.0,1,44,0
289,1972,40,"+ 1h 45' 51""",Bic,Roland Berland ,FRA,51.0,1,45,0
290,1972,46,"+ 1h 59' 41""",Van Cauter–Magniflex–de Gribaldy,Jean-Claude Largeau ,FRA,41.0,1,59,0
291,1973,21,"+ 1h 04' 49""",Bic,Bernard Labourdette ,FRA,49.0,1,4,0
292,1973,22,"+ 1h 08' 41""",Peugeot–BP–Michelin,Jean-Pierre Danguillaume ,FRA,41.0,1,8,0
293,1973,26,"+ 1h 20' 33""",Gan–Mercier–Hutchinson,René Grelin ,FRA,33.0,1,20,0
294,1973,27,"+ 1h 21' 06""",Bic,Jean-Claude Genty ,FRA,6.0,1,21,0
295,1973,28,"+ 1h 22' 07""",Bic,Roland Berland ,FRA,7.0,1,22,0
296,1973,30,"+ 1h 27' 51""",Peugeot–BP–Michelin,Pierre Martelozzo ,FRA,51.0,1,27,0
297,1973,31,"+ 1h 29' 19""",Bic,Alain Santy ,FRA,19.0,1,29,0
298,1973,35,"+ 1h 36' 10""",Gitane–Frigécrème,Raymond Martin ,FRA,10.0,1,36,0
299,1973,36,"+ 1h 47' 42""",Peugeot–BP–Michelin,Charly Rouxel ,FRA,42.0,1,47,0
300,1974,32,"+ 1h 00' 06""",Sonolor–Gitane,Ferdinand Julien ,FRA,6.0,1,0,0
301,1974,33,"+ 1h 01' 13""",Bic,Roland Berland ,FRA,13.0,1,1,0
302,1974,34,"+ 1h 05' 22""",Peugeot–BP–Michelin,Régis Ovion ,FRA,22.0,1,5,0
303,1974,39,"+ 1h 16' 19""",Jobo–Lejeune,Francis Campaner ,FRA,19.0,1,16,0
304,1974,47,"+ 1h 23' 26""",Merlin Plage–Shimano–Flandria,Jean-Claude Misac ,FRA,26.0,1,23,0
305,1974,48,"+ 1h 23' 52""",Jobo–Lejeune,Christian Blain ,FRA,52.0,1,23,0
306,1974,51,"+ 1h 26' 37""",Bic,Sylvain Vasseur ,FRA,37.0,1,26,0
307,1974,52,"+ 1h 27' 07""",Peugeot–BP–Michelin,Bernard Bourreau ,FRA,7.0,1,27,0
308,1974,59,"+ 1h 38' 40""",Peugeot–BP–Michelin,André Mollet ,FRA,40.0,1,38,0
309,1974,64,"+ 1h 42' 17""",Sonolor–Gitane,Alain Nogues ,FRA,17.0,1,42,0
310,1974,67,"+ 1h 49' 02""",Gan–Mercier–Hutchinson,Jean-Pierre Genet ,FRA,2.0,1,49,0
311,1974,68,"+ 1h 50' 29""",Merlin Plage–Shimano–Flandria,Jean-Jacques Sanquer ,FRA,29.0,1,50,0
312,1974,71,"+ 1h 52' 44""",Peugeot–BP–Michelin,Guy Sibille ,FRA,44.0,1,52,0
313,1974,72,"+ 1h 53' 52""",Merlin Plage–Shimano–Flandria,Gérard Moneyron ,FRA,52.0,1,53,0
314,1974,74,"+ 1h 54' 22""",Peugeot–BP–Michelin,Charles Rouxel ,FRA,22.0,1,54,0
315,1974,75,"+ 1h 56' 47""",Peugeot–BP–Michelin,Jacques Esclassan ,FRA,47.0,1,56,0
316,1974,76,"+ 1h 57' 36""",Gan–Mercier–Hutchinson,Christian Raymond ,FRA,36.0,1,57,0
317,1974,77,"+ 1h 58' 03""",Merlin Plage–Shimano–Flandria,Daniel Rébillard ,FRA,3.0,1,58,0
318,1974,79,"+ 1h 59' 51""",Peugeot–BP–Michelin,Raymond Riotte ,FRA,51.0,1,59,0
319,1975,20,"+ 1h 05' 27""",Sporting–Sottomayor,Ferdinand Julien ,FRA,27.0,1,5,0
320,1975,21,"+ 1h 05' 54""",Gan–Mercier–Hutchinson,Yves Hézard ,FRA,54.0,1,5,0
321,1975,28,"+ 1h 29' 23""",Peugeot–BP–Michelin,Régis Ovion ,FRA,23.0,1,29,0
322,1975,30,"+ 1h 34' 06""",Gitane–Campagnolo,Raymond Martin ,FRA,6.0,1,34,0
323,1975,38,"+ 1h 47' 01""",Jobo–Wolber–Sablière,Joël Millard ,FRA,1.0,1,47,0
324,1975,40,"+ 1h 57' 19""",Peugeot–BP–Michelin,Bernard Bourreau ,FRA,19.0,1,57,0
325,1975,41,"+ 1h 58' 52""",Miko–de Gribaldy,Hubert Mathis ,FRA,52.0,1,58,0
326,1976,33,"+ 1h 00' 03""",Miko–de Gribaldy–Superia,Hubert Mathis ,FRA,3.0,1,0,0
327,1976,35,"+ 1h 01' 59""",Lejeune–BP,Roger Legeay ,FRA,59.0,1,1,0
328,1976,39,"+ 1h 07' 37""",Jobo–Spidel–Wolber–La France,André Romero ,FRA,37.0,1,7,0
329,1976,40,"+ 1h 08' 30""",Gan–Mercier–Hutchinson,Michel Perin ,FRA,30.0,1,8,0
330,1976,41,"+ 1h 12' 06""",Jobo–Spidel–Wolber–La France,Bernard Labourdette ,FRA,6.0,1,12,0
331,1976,42,"+ 1h 25' 34""",Lejeune–BP,Mariano Martínez ,FRA,34.0,1,25,0
332,1976,43,"+ 1h 26' 39""",Gan–Mercier–Hutchinson,Jean-Pierre Genet ,FRA,39.0,1,26,0
333,1976,45,"+ 1h 29' 34""",Gan–Mercier–Hutchinson,Yves Hézard ,FRA,34.0,1,29,0
334,1976,46,"+ 1h 29' 45""",Lejeune–BP,Michel Le Denmat ,FRA,45.0,1,29,0
335,1976,47,"+ 1h 31' 27""",Peugeot–Esso–Michelin,Guy Sibille ,FRA,27.0,1,31,0
336,1976,48,"+ 1h 33' 23""",Gan–Mercier–Hutchinson,Maurice Le Guilloux ,FRA,23.0,1,33,0
337,1976,49,"+ 1h 34' 11""",Gitane–Campagnolo,Robert Mintkiewicz ,FRA,11.0,1,34,0
338,1976,53,"+ 1h 46' 58""",Gitane–Campagnolo,Hubert Arbès ,FRA,58.0,1,46,0
339,1976,58,"+ 1h 59' 26""",Peugeot–Esso–Michelin,Charles Rouxel ,FRA,26.0,1,59,0
340,1977,28,"+ 1h 02' 54""",Peugeot–Esso–Michelin,Jacques Esclassan ,FRA,54.0,1,2,0
341,1977,33,"+ 1h 15' 41""",Gitane–Campagnolo,Roland Berland ,FRA,41.0,1,15,0
342,1977,34,"+ 1h 23' 07""",Peugeot–Esso–Michelin,Bernard Bourreau ,FRA,7.0,1,23,0
343,1977,35,"+ 1h 25' 37""",Peugeot–Esso–Michelin,Jean-Pierre Danguillaume ,FRA,37.0,1,25,0
344,1977,36,"+ 1h 25' 50""",Lejeune–BP,Eugène Plet ,FRA,50.0,1,25,0
345,1977,37,"+ 1h 33' 11""",Lejeune–BP,Roger Legeay ,FRA,11.0,1,33,0
346,1977,40,"+ 1h 36' 43""",Peugeot–Esso–Michelin,Guy Sibille ,FRA,43.0,1,36,0
347,1977,42,"+ 1h 44' 06""",Gitane–Campagnolo,André Chalmel ,FRA,6.0,1,44,0
348,1977,43,"+ 1h 44' 46""",Lejeune–BP,Michel Le Denmat ,FRA,46.0,1,44,0
349,1978,27,"+ 1h 02' 40""",Miko–Mercier–Vivagel,Maurice Le Guilloux ,FRA,40.0,1,2,0
350,1978,28,"+ 1h 06' 34""",Peugeot–Esso–Michelin,Bernard Bourreau ,FRA,34.0,1,6,0
351,1978,29,"+ 1h 06' 34""",Miko–Mercier–Vivagel,Patrick Perret ,FRA,34.0,1,6,0
352,1978,30,"+ 1h 06' 45""",Jobo–Spidel–La Roue d'Or,Ferdinand Julien ,FRA,45.0,1,6,0
353,1978,31,"+ 1h 07' 50""",Renault–Gitane–Campagnolo,Pierre-Raymond Villemiane ,FRA,50.0,1,7,0
354,1978,33,"+ 1h 09' 19""",Miko–Mercier–Vivagel,Charles Rouxel ,FRA,19.0,1,9,0
355,1978,36,"+ 1h 13' 38""",Miko–Mercier–Vivagel,André Mollet ,FRA,38.0,1,13,0
356,1978,37,"+ 1h 15' 50""",Renault–Gitane–Campagnolo,Gilbert Chaumaz ,FRA,50.0,1,15,0
357,1978,42,"+ 1h 29' 39""",Lejeune–BP,Roger Legeay ,FRA,39.0,1,29,0
358,1978,45,"+ 1h 34' 40""",Miko–Mercier–Vivagel,Hubert Mathis ,FRA,40.0,1,34,0
359,1978,48,"+ 1h 39' 48""",Fiat,Alain De Carvalho ,FRA,48.0,1,39,0
360,1978,50,"+ 1h 41' 26""",Fiat,Dominique Sanders ,FRA,26.0,1,41,0
361,1978,53,"+ 1h 48' 10""",Flandria–Velda–Lano,Christian Muselet ,FRA,10.0,1,48,0
362,1978,54,"+ 1h 50' 07""",Jobo–Spidel–La Roue d'Or,Alain Patritti ,FRA,7.0,1,50,0
363,1978,58,"+ 1h 53' 46""",Renault–Gitane–Campagnolo,Bernard Quilfen ,FRA,46.0,1,53,0
364,1978,59,"+ 1h 53' 46""",Flandria–Velda–Lano,Marcel Tinazzi ,FRA,46.0,1,53,0
365,1979,16,"+ 1h 01' 36""",La Redoute–Motobécane,Mariano Martínez ,FRA,36.0,1,1,0
366,1979,17,"+ 1h 03' 05""",Peugeot–Esso–Michelin,Yves Hézard ,FRA,5.0,1,3,0
367,1979,19,"+ 1h 06' 49""",Fiat,Robert Alban ,FRA,49.0,1,6,0
368,1979,20,"+ 1h 08' 25""",La Redoute–Motobécane,Bernard Vallet ,FRA,25.0,1,8,0
369,1979,22,"+ 1h 09' 52""",Miko–Mercier–Vivagel,Christian Seznec ,FRA,52.0,1,9,0
370,1979,24,"+ 1h 14' 30""",Miko–Mercier–Vivagel,Raymond Martin ,FRA,30.0,1,14,0
371,1979,26,"+ 1h 19' 57""",Flandria–Ça va seul,René Bittinger ,FRA,57.0,1,19,0
372,1979,33,"+ 1h 43' 07""",La Redoute–Motobécane,Pierre Bazzo ,FRA,7.0,1,43,0
373,1979,34,"+ 1h 45' 39""",Fiat,Alain Meslet ,FRA,39.0,1,45,0
374,1979,35,"+ 1h 46' 46""",Renault–Gitane,Jean Chassang ,FRA,46.0,1,46,0
375,1979,37,"+ 1h 53' 25""",Peugeot–Esso–Michelin,Michel Laurent ,FRA,25.0,1,53,0
376,1979,40,"+ 1h 57' 13""",Flandria–Ça va seul,Jacques Michaud ,FRA,13.0,1,57,0
377,1979,41,"+ 1h 59' 22""",La Redoute–Motobécane,Didier Vanoverschelde ,FRA,22.0,1,59,0
378,1979,42,"+ 1h 59' 26""",Renault–Gitane,Bernard Becaas ,FRA,26.0,1,59,0
379,1980,32,"+ 1h 01' 06""",La Redoute–Motobécane,Mariano Martínez ,FRA,6.0,1,1,0
380,1980,34,"+ 1h 01' 38""",Renault–Gitane,Patrick Bonnet ,FRA,38.0,1,1,0
381,1980,40,"+ 1h 07' 11""",Peugeot–Esso–Michelin,Bernard Bourreau ,FRA,11.0,1,7,0
382,1980,43,"+ 1h 09' 34""",Miko–Mercier–Vivagel,Patrick Friou ,FRA,34.0,1,9,0
383,1980,44,"+ 1h 11' 18""",Miko–Mercier–Vivagel,Christian Levavasseur ,FRA,18.0,1,11,0
384,1980,45,"+ 1h 11' 32""",La Redoute–Motobécane,Didier Vanoverschelde ,FRA,32.0,1,11,0
385,1980,46,"+ 1h 11' 52""",Peugeot–Esso–Michelin,Hubert Linard ,FRA,52.0,1,11,0
386,1980,48,"+ 1h 19' 20""",Puch–Sem–Campagnolo,Jean-Raymond Toso ,FRA,20.0,1,19,0
387,1980,50,"+ 1h 20' 58""",Miko–Mercier–Vivagel,Jean-Louis Gauthier ,FRA,58.0,1,20,0
388,1980,55,"+ 1h 23' 47""",Boston–Mavic–Amis du Tour,Patrice Thevenard ,FRA,47.0,1,23,0
389,1980,58,"+ 1h 25' 23""",Boston–Mavic–Amis du Tour,Alain Vigneron ,FRA,23.0,1,25,0
390,1980,59,"+ 1h 25' 30""",Peugeot–Esso–Michelin,Jacques Bossis ,FRA,30.0,1,25,0
391,1980,61,"+ 1h 26' 44""",Miko–Mercier–Vivagel,Didier Lebaud ,FRA,44.0,1,26,0
392,1980,70,"+ 1h 32' 59""",Renault–Gitane,Pierre-Raymond Villemiane ,FRA,59.0,1,32,0
393,1980,71,"+ 1h 38' 11""",Peugeot–Esso–Michelin,Patrick Perret ,FRA,11.0,1,38,0
394,1980,72,"+ 1h 41' 36""",Puch–Sem–Campagnolo,Jacques Michaud ,FRA,36.0,1,41,0
395,1980,74,"+ 1h 44' 34""",Renault–Gitane,Jean Chassang ,FRA,34.0,1,44,0
396,1980,75,"+ 1h 44' 51""",Peugeot–Esso–Michelin,Frédéric Brun ,FRA,51.0,1,44,0
397,1980,76,"+ 1h 45' 09""",Renault–Gitane,Bernard Becaas ,FRA,9.0,1,45,0
398,1980,77,"+ 1h 46' 12""",Miko–Mercier–Vivagel,Joël Gallopin ,FRA,12.0,1,46,0
399,1980,81,"+ 1h 53' 09""",Renault–Gitane,Maurice Le Guilloux ,FRA,9.0,1,53,0
400,1980,84,"+ 1h 59' 40""",Peugeot–Esso–Michelin,Roger Legeay ,FRA,40.0,1,59,0
401,1981,33,"+ 1h 01' 40""",Sem–France Loire–Campagnolo,Serge Beucherie ,FRA,40.0,1,1,0
402,1981,36,"+ 1h 12' 43""",Miko–Mercier–Vivagel,Christian Seznec ,FRA,43.0,1,12,0
403,1981,37,"+ 1h 12' 48""",Puch–Wolber–Campagnolo,Bernard Thévenet ,FRA,48.0,1,12,0
404,1981,41,"+ 1h 18' 38""",Boston–Mavic,Alain Meslet ,FRA,38.0,1,18,0
405,1981,43,"+ 1h 24' 52""",Renault–Elf–Gitane,Alain Vigneron ,FRA,52.0,1,24,0
406,1981,44,"+ 1h 25' 55""",Peugeot–Esso–Michelin,Patrick Perret ,FRA,55.0,1,25,0
407,1981,45,"+ 1h 26' 10""",La Redoute–Motobécane,Bernard Vallet ,FRA,10.0,1,26,0
408,1981,46,"+ 1h 26' 12""",Peugeot–Esso–Michelin,Hubert Linard ,FRA,12.0,1,26,0
409,1981,47,"+ 1h 27' 20""",Miko–Mercier–Vivagel,Patrick Friou ,FRA,20.0,1,27,0
410,1981,51,"+ 1h 31' 01""",Miko–Mercier–Vivagel,Régis Clère ,FRA,1.0,1,31,0
411,1981,53,"+ 1h 35' 25""",Puch–Wolber–Campagnolo,Alain De Carvalho ,FRA,25.0,1,35,0
412,1981,56,"+ 1h 41' 25""",Renault–Elf–Gitane,Maurice Le Guilloux ,FRA,25.0,1,41,0
413,1981,58,"+ 1h 42' 12""",Miko–Mercier–Vivagel,Jean-Louis Gauthier ,FRA,12.0,1,42,0
414,1981,60,"+ 1h 43' 45""",Renault–Elf–Gitane,Hubert Arbès ,FRA,45.0,1,43,0
415,1981,61,"+ 1h 43' 56""",Peugeot–Esso–Michelin,Roger Legeay ,FRA,56.0,1,43,0
416,1981,63,"+ 1h 44' 39""",Peugeot–Esso–Michelin,Jacques Bossis ,FRA,39.0,1,44,0
417,1981,68,"+ 1h 48' 05""",Renault–Elf–Gitane,Bernard Becaas ,FRA,5.0,1,48,0
418,1981,70,"+ 1h 50' 34""",Puch–Wolber–Campagnolo,Jean Chassang ,FRA,34.0,1,50,0
419,1981,71,"+ 1h 52' 15""",Puch–Wolber–Campagnolo,Yves Hézard ,FRA,15.0,1,52,0
420,1981,72,"+ 1h 56' 32""",Peugeot–Esso–Michelin,Bernard Bourreau ,FRA,32.0,1,56,0
421,1981,73,"+ 1h 58' 29""",Miko–Mercier–Vivagel,Hubert Mathis ,FRA,29.0,1,58,0
422,1982,42,"+ 1h 00' 00""",La Redoute–Motobécane,Didier Vanoverschelde ,FRA,0.0,1,0,0
423,1982,43,"+ 1h 00' 33""",Sem–France Loire–Campagnolo,Marcel Tinazzi ,FRA,33.0,1,0,0
424,1982,44,"+ 1h 00' 53""",Sem–France Loire–Campagnolo,René Bittinger ,FRA,53.0,1,0,0
425,1982,45,"+ 1h 00' 55""",COOP–Mercier–Mavic,Régis Clère ,FRA,55.0,1,0,0
426,1982,48,"+ 1h 04' 58""",Peugeot–Shell–Michelin,Michel Laurent ,FRA,58.0,1,4,0
427,1982,49,"+ 1h 05' 57""",Sem–France Loire–Campagnolo,Jean-François Chaurin ,FRA,57.0,1,5,0
428,1982,50,"+ 1h 08' 24""",Renault–Elf–Gitane,Pascal Poisson ,FRA,24.0,1,8,0
429,1982,51,"+ 1h 10' 47""",COOP–Mercier–Mavic,Pierre-Henri Menthéour ,FRA,47.0,1,10,0
430,1982,55,"+ 1h 15' 56""",Wolber–Spidel,Pierre-Raymond Villemiane ,FRA,56.0,1,15,0
431,1982,56,"+ 1h 17' 04""",Peugeot–Shell–Michelin,Hubert Linard ,FRA,4.0,1,17,0
432,1982,59,"+ 1h 23' 00""",COOP–Mercier–Mavic,Pierre Le Bigaut ,FRA,0.0,1,23,0
433,1982,60,"+ 1h 23' 04""",Peugeot–Shell–Michelin,Gilbert Duclos-Lassalle ,FRA,4.0,1,23,0
434,1982,62,"+ 1h 27' 23""",Wolber–Spidel,Marc Durant ,FRA,23.0,1,27,0
435,1982,64,"+ 1h 29' 14""",Sem–France Loire–Campagnolo,Dominique Garde ,FRA,14.0,1,29,0
436,1982,66,"+ 1h 30' 56""",Peugeot–Shell–Michelin,Frédéric Brun ,FRA,56.0,1,30,0
437,1982,71,"+ 1h 33' 00""",Wolber–Spidel,Marc Gomez ,FRA,0.0,1,33,0
438,1982,74,"+ 1h 41' 55""",Wolber–Spidel,Jean-François Rault ,FRA,55.0,1,41,0
439,1982,77,"+ 1h 43' 05""",Sem–France Loire–Campagnolo,Patrick Clerc ,FRA,5.0,1,43,0
440,1982,80,"+ 1h 44' 21""",Wolber–Spidel,Jean Chassang ,FRA,21.0,1,44,0
441,1982,86,"+ 1h 52' 06""",Renault–Elf–Gitane,Hubert Arbès ,FRA,6.0,1,52,0
442,1982,89,"+ 1h 56' 33""",Wolber–Spidel,Claude Vincendeau ,FRA,33.0,1,56,0
443,1983,30,"+ 1h 09' 28""",Wolber–Spidel,Marc Durant ,FRA,28.0,1,9,0
444,1983,32,"+ 1h 14' 22""",COOP–Mercier–Mavic,Pierre Le Bigaut ,FRA,22.0,1,14,0
445,1983,33,"+ 1h 18' 13""",Renault–Elf,Alain Vigneron ,FRA,13.0,1,18,0
446,1983,35,"+ 1h 24' 19""",La Redoute–Motobécane,Didier Vanoverschelde ,FRA,19.0,1,24,0
447,1983,36,"+ 1h 25' 40""",Sem–Reydel–Mavic,Patrick Clerc ,FRA,40.0,1,25,0
448,1983,38,"+ 1h 31' 53""",Wolber–Spidel,Patrick Bonnet ,FRA,53.0,1,31,0
449,1983,40,"+ 1h 33' 50""",Peugeot–Shell–Michelin,Dominique Garde ,FRA,50.0,1,33,0
450,1983,41,"+ 1h 34' 08""",Wolber–Spidel,Philippe Leleu ,FRA,8.0,1,34,0
451,1983,43,"+ 1h 40' 25""",COOP–Mercier–Mavic,Raymond Martin ,FRA,25.0,1,40,0
452,1983,45,"+ 1h 42' 45""",La Redoute–Motobécane,Christian Jourdan ,FRA,45.0,1,42,0
453,1983,47,"+ 1h 50' 10""",Renault–Elf,Philippe Chevallier ,FRA,10.0,1,50,0
454,1983,50,"+ 1h 53' 15""",Peugeot–Shell–Michelin,Hubert Linard ,FRA,15.0,1,53,0
455,1983,53,"+ 1h 54' 46""",Peugeot–Shell–Michelin,Bernard Bourreau ,FRA,46.0,1,54,0
456,1983,56,"+ 1h 59' 05""",Renault–Elf,Charly Berard ,FRA,5.0,1,59,0
457,1984,28,"+ 1h 00' 02""",Renault–Elf,Vincent Barteau ,FRA,2.0,1,0,0
458,1984,29,"+ 1h 05' 38""",Skil–Reydel–Sem–Mavic,Gilles Mas ,FRA,38.0,1,5,0
459,1984,33,"+ 1h 09' 58""",Peugeot–Shell–Michelin,Dominique Garde ,FRA,58.0,1,9,0
460,1984,35,"+ 1h 13' 03""",Renault–Elf,Marc Madiot ,FRA,3.0,1,13,0
461,1984,36,"+ 1h 16' 33""",La Redoute,Jérôme Simon ,FRA,33.0,1,16,0
462,1984,37,"+ 1h 17' 22""",Système U,Marc Durant ,FRA,22.0,1,17,0
463,1984,38,"+ 1h 18' 03""",La Redoute,Robert Alban ,FRA,3.0,1,18,0
464,1984,44,"+ 1h 26' 51""",COOP–Hoonved,Pierre Le Bigaut ,FRA,51.0,1,26,0
465,1984,46,"+ 1h 29' 39""",Renault–Elf,Yvon Madiot ,FRA,39.0,1,29,0
466,1984,47,"+ 1h 29' 49""",La Vie Claire,Alain Vigneron ,FRA,49.0,1,29,0
467,1984,49,"+ 1h 33' 15""",La Vie Claire,Charly Berard ,FRA,15.0,1,33,0
468,1984,54,"+ 1h 37' 50""",La Vie Claire,Dominique Arnaud ,FRA,50.0,1,37,0
469,1984,55,"+ 1h 38' 51""",Renault–Elf,Pierre-Henri Menthéour ,FRA,51.0,1,38,0
470,1984,62,"+ 1h 48' 38""",La Vie Claire,Maurice Le Guilloux ,FRA,38.0,1,48,0
471,1984,63,"+ 1h 49' 07""",Skil–Reydel–Sem–Mavic,Guy Gallopin ,FRA,7.0,1,49,0
472,1984,67,"+ 1h 52' 04""",Système U,André Chappuis ,FRA,4.0,1,52,0
473,1984,69,"+ 1h 53' 58""",Système U,Yvan Frebert ,FRA,58.0,1,53,0
474,1984,73,"+ 1h 58' 23""",La Vie Claire,Bernard Vallet ,FRA,23.0,1,58,0
475,1985,53,"+ 1h 08' 37""",Hitachi–Splendor–Sunair,Laurent Biondi ,FRA,37.0,1,8,0
476,1985,56,"+ 1h 14' 26""",Renault–Elf,Denis Roux ,FRA,26.0,1,14,0
477,1985,57,"+ 1h 15' 19""",Renault–Elf,Philippe Chevallier ,FRA,19.0,1,15,0
478,1985,61,"+ 1h 20' 56""",Peugeot–Shell–Michelin,Gilbert Duclos-Lassalle ,FRA,56.0,1,20,0
479,1985,64,"+ 1h 25' 07""",Zor–Gemeaz Cusin,Marc Durant ,FRA,7.0,1,25,0
480,1985,65,"+ 1h 25' 37""",Fagor,Jean-Claude Bagot ,FRA,37.0,1,25,0
481,1985,67,"+ 1h 27' 50""",Renault–Elf,Thierry Marie ,FRA,50.0,1,27,0
482,1985,68,"+ 1h 30' 51""",Peugeot–Shell–Michelin,Yvan Frebert ,FRA,51.0,1,30,0
483,1985,69,"+ 1h 31' 08""",La Redoute,Jean-Louis Gauthier ,FRA,8.0,1,31,0
484,1985,71,"+ 1h 34' 31""",La Vie Claire,Christian Jourdan ,FRA,31.0,1,34,0
485,1985,72,"+ 1h 35' 55""",Renault–Elf,Yvon Madiot ,FRA,55.0,1,35,0
486,1985,77,"+ 1h 40' 32""",Skil–Sem–Kas–Miko,René Bittinger ,FRA,32.0,1,40,0
487,1985,78,"+ 1h 43' 33""",Skil–Sem–Kas–Miko,Joël Pelier ,FRA,33.0,1,43,0
488,1985,81,"+ 1h 50' 40""",Fagor,François Lemarchand ,FRA,40.0,1,50,0
489,1986,26,"+ 1h 03' 56""",Fagor,Jean-René Bernaudeau ,FRA,56.0,1,3,0
490,1986,35,"+ 1h 16' 19""",Peugeot–Shell,Robert Forest ,FRA,19.0,1,16,0
491,1986,44,"+ 1h 29' 02""",La Vie Claire,Charly Berard ,FRA,2.0,1,29,0
492,1986,45,"+ 1h 29' 11""",Kas,Dominique Garde ,FRA,11.0,1,29,0
493,1986,47,"+ 1h 31' 56""",RMO–Cycles Méral–Mavic,Gilles Mas ,FRA,56.0,1,31,0
494,1986,56,"+ 1h 40' 43""",Kas,Jean-Claude Leclercq ,FRA,43.0,1,40,0
495,1986,57,"+ 1h 40' 57""",Kas,Jean-Claude Garde ,FRA,57.0,1,40,0
496,1986,62,"+ 1h 43' 12""",RMO–Cycles Méral–Mavic,Bernard Vallet ,FRA,12.0,1,43,0
497,1986,68,"+ 1h 49' 05""",Fagor,François Lemarchand ,FRA,5.0,1,49,0
498,1986,76,"+ 1h 53' 54""",Reynolds,Dominique Arnaud ,FRA,54.0,1,53,0
499,1986,85,"+ 1h 59' 27""",Système U,Dominique Gaigne ,FRA,27.0,1,59,0
500,1987,23,"+ 1h 05' 33""",Fagor–MBK,Éric Caritoux ,FRA,33.0,1,5,0
501,1987,28,"+ 1h 20' 57""",Kas,Gilles Sanders ,FRA,57.0,1,20,0
502,1987,32,"+ 1h 26' 48""",RMO–Cycles Méral–Mavic,Gilles Mas ,FRA,48.0,1,26,0
503,1987,33,"+ 1h 27' 16""",Fagor–MBK,Jean-Claude Bagot ,FRA,16.0,1,27,0
504,1987,34,"+ 1h 29' 17""",Système U,Martial Gayant ,FRA,17.0,1,29,0
505,1987,37,"+ 1h 33' 37""",Vétements Z–Peugeot,Bruno Cornillet ,FRA,37.0,1,33,0
506,1987,38,"+ 1h 35' 04""",Fagor–MBK,Robert Forest ,FRA,4.0,1,35,0
507,1987,40,"+ 1h 36' 12""",Système U,Christophe Lavainne ,FRA,12.0,1,36,0
508,1987,42,"+ 1h 36' 25""",Vétements Z–Peugeot,Jérôme Simon ,FRA,25.0,1,36,0
509,1987,47,"+ 1h 46' 46""",Système U,Marc Madiot ,FRA,46.0,1,46,0
510,1987,50,"+ 1h 54' 40""",Toshiba–Look,Jean-Claude Leclercq ,FRA,40.0,1,54,0
511,1987,53,"+ 1h 58' 19""",Vétements Z–Peugeot,Pascal Simon ,FRA,19.0,1,58,0
